,q,r,s,time,Ca_cyt,IP3,Ca_stored,IP3R_act
0,0.0,0.0,0.0,95.5,0.0642384140192612,0.1096094809687803,10.463576140436423,0.8116998830355431
1,0.0,1.0,-1.0,85.0,0.0604870923806692,0.1017123238461626,10.483853554699094,0.7242504918719469
2,-1.0,2.0,-1.0,109.0,0.0696168104267666,0.1269249746791586,10.434503727422888,0.8432119752929504
3,-1.0,3.0,-2.0,54.0,0.0757802674134576,0.1473054818736718,10.401187743711036,0.8446919151605368
4,-2.0,4.0,-2.0,48.5,0.0733692287753592,0.1394012010390197,10.41422038499806,0.8460190169349205
5,-2.0,5.0,-3.0,81.5,0.0608733380050659,0.1206325800450403,10.48176574051317,0.6691583558702195
6,1.0,0.0,-1.0,107.0,0.0688398456582746,0.1243631017819128,10.438703536982295,0.8412981305173027
7,1.0,1.0,-2.0,102.5,0.0670651712481728,0.1185741859728212,10.448296371631494,0.8342665769844665
8,0.0,2.0,-2.0,116.5,0.0725174351984492,0.1365692886439728,10.41882467460298,0.8460749709100704
9,0.0,3.0,-3.0,91.0,0.0624363779071552,0.1042366230957261,10.473316876177549,0.784971050399681
10,-1.0,4.0,-3.0,103.5,0.0674629861403273,0.1198631500120957,10.446146020863097,0.8362152026130137
11,-1.0,5.0,-4.0,72.0,0.7697567126020116,1.036558765086082,6.64996371566482,0.5517069349033858
12,2.0,0.0,-2.0,110.5,0.0701961278041172,0.1288435169004202,10.43137228213991,0.8442695881989617
13,2.0,1.0,-3.0,104.0,0.0676611515229421,0.1205072301929573,10.445074856632743,0.8370989573341397
14,1.0,2.0,-3.0,100.5,0.0662638951317224,0.11599558668733,10.452627593882577,0.82956021221022
15,1.0,3.0,-4.0,92.0,0.0628294910159072,0.1053599297298076,10.47119194045456,0.792026361198306
16,0.0,4.0,-4.0,104.0,0.0676611515229421,0.1205072301929573,10.445074856632743,0.8370989573341397
17,0.0,5.0,-5.0,64.0,0.0853823803784568,0.1746116346434011,10.349284430386728,0.8376877221797729
18,3.0,0.0,-3.0,70.5,0.9602371053425204,0.8699672324201959,5.620339971121529,0.6663607485946748
19,3.0,1.0,-4.0,85.5,0.0605905477829045,0.1012447270956089,10.483294336308632,0.730760357621891
20,2.0,2.0,-4.0,76.0,0.085512818878627,0.6159781478599443,10.348579357412843,0.5422671308903765
21,2.0,3.0,-5.0,68.5,0.2005975094612695,0.3173443615626821,9.726499948858017,0.8197905044954336
22,1.0,4.0,-5.0,110.0,0.0700032666009172,0.1282041192285032,10.43241477513018,0.8439497152154216
23,1.0,5.0,-6.0,97.0,0.0648476615564131,0.111506304948545,10.460282910505873,0.8181357462732388
24,4.0,0.0,-4.0,47.0,0.0727692123651316,0.1374070189020429,10.417463716945235,0.8460908021227952
25,4.0,1.0,-5.0,116.0,0.0723214711006894,0.1359165904069227,10.419883939996277,0.8460436189675629
26,3.0,2.0,-5.0,55.0,0.076285148198147,0.1489244231646909,10.398458658388392,0.8442920050309972
27,3.0,3.0,-6.0,57.0,0.0774115073048628,0.1524726630532572,10.392370230784527,0.8433469544428791
28,2.0,4.0,-6.0,52.0,0.0748480032142509,0.1442777372689833,10.406227009652696,0.8453502408242044
29,2.0,5.0,-7.0,97.5,0.0650506823335822,0.1121435981741994,10.459185500899553,0.8200568184941636
30,5.0,0.0,-5.0,113.5,0.0713517333510865,0.132685612382971,10.425125765669804,0.8455920843074637
