,q,r,s,value
0,3.0,-5.0,2.0,0.3742342835936664
1,2.0,-4.0,2.0,0.4266825557620807
2,2.0,-3.0,1.0,0.3027649545312593
3,1.0,-2.0,1.0,0.4078867531425673
4,1.0,-1.0,0.0,0.519299290132949
5,4.0,-5.0,1.0,0.6275723430864588
6,3.0,-4.0,1.0,0.1398524010954263
7,3.0,-3.0,0.0,0.13798754551061443
8,2.0,-2.0,0.0,0.44823811458618
9,2.0,-1.0,-1.0,0.7503064535512721
10,5.0,-5.0,0.0,0.7416102833616481
11,4.0,-4.0,0.0,0.5272948554675364
12,4.0,-3.0,-1.0,0.5705960623331642
13,3.0,-2.0,-1.0,0.8711815509587401
14,3.0,-1.0,-2.0,0.7707921821217844
15,6.0,-5.0,-1.0,0.8524510855663998
16,5.0,-4.0,-1.0,0.2510262813783909
17,5.0,-3.0,-2.0,0.5306984780084426
18,4.0,-2.0,-2.0,0.9718409286909083
19,4.0,-1.0,-3.0,0.9398087814427094
20,7.0,-5.0,-2.0,0.46771001589002736
21,6.0,-4.0,-2.0,0.5364972975086312
22,6.0,-3.0,-3.0,0.9117598212370461
23,5.0,-2.0,-3.0,0.6205280519540566
24,5.0,-1.0,-4.0,0.6163414799028665
25,8.0,-5.0,-3.0,0.3823600166700273
26,7.0,-4.0,-3.0,0.9432715138322032
27,7.0,-3.0,-4.0,0.9303008872732461
28,6.0,-2.0,-4.0,0.31184229689150267
29,6.0,-1.0,-5.0,0.4655139089389513
30,9.0,-5.0,-4.0,0.6095267799848239
31,8.0,-4.0,-4.0,0.5337510159377934
32,8.0,-3.0,-5.0,0.7928069943329666
33,7.0,-2.0,-5.0,0.48420963554518814
34,7.0,-1.0,-6.0,0.8737953578007516
35,10.0,-5.0,-5.0,0.11788523224620295
36,9.0,-4.0,-5.0,0.3019120704771513
37,9.0,-3.0,-6.0,0.10473376784342936
38,8.0,-2.0,-6.0,0.6571883945237437
39,8.0,-1.0,-7.0,0.808469499978849
40,11.0,-5.0,-6.0,0.14346927919135388
41,10.0,-4.0,-6.0,0.3364275813796421
42,10.0,-3.0,-7.0,0.9674324373396918
43,9.0,-2.0,-7.0,0.9094252918593357
44,9.0,-1.0,-8.0,0.49302494910858297
45,12.0,-5.0,-7.0,0.9504428151328661
46,11.0,-4.0,-7.0,0.8903903926054849
47,11.0,-3.0,-8.0,0.9821357208157255
48,10.0,-2.0,-8.0,0.35219216862940705
49,10.0,-1.0,-9.0,0.7904071263070132
50,13.0,-5.0,-8.0,0.7744843166666293
51,12.0,-4.0,-8.0,0.83437414893509
52,12.0,-3.0,-9.0,0.6462128107921331
53,11.0,-2.0,-9.0,0.20098931409904763
54,11.0,-1.0,-10.0,0.7619602387681823
55,14.0,-5.0,-9.0,0.5981379436654748
56,13.0,-4.0,-9.0,0.07051760509617622
57,13.0,-3.0,-10.0,0.5985621482512149
58,12.0,-2.0,-10.0,0.11303292965545142
59,12.0,-1.0,-11.0,0.4679115117940468
60,15.0,-5.0,-10.0,0.06302736519154073
61,14.0,-4.0,-10.0,0.4176459342164056
62,14.0,-3.0,-11.0,0.832705266500917
63,13.0,-2.0,-11.0,0.3981144993026995
64,13.0,-1.0,-12.0,0.9767233411018141
65,16.0,-5.0,-11.0,0.7567419409939699
66,15.0,-4.0,-11.0,0.3556611397988585
67,15.0,-3.0,-12.0,0.4413875701474239
68,14.0,-2.0,-12.0,0.4891970199709612
69,14.0,-1.0,-13.0,0.6354666331270379
70,17.0,-5.0,-12.0,0.8969330699119892
71,16.0,-4.0,-12.0,0.7275779609190638
72,16.0,-3.0,-13.0,0.11986402268295016
73,15.0,-2.0,-13.0,0.3532827651722573
74,15.0,-1.0,-14.0,0.6610422790415695
75,18.0,-5.0,-13.0,0.05453195874835792
76,17.0,-4.0,-13.0,0.6489303601585631
77,17.0,-3.0,-14.0,0.8271100294589966
